Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Arnaut Danjuma,13,7,1,1,3,1
Kévin Danois,0,0,0,0,0,0
Kevin Danso,41,38,1,0,2,0
Dante,34,30,0,3,0,1
Márton Dárdai,10,9,0,0,1,0
Sergi Darder,150,98,8,4,4,1
Achraf Dari,7,3,0,0,1,1
Vladimír Darida,0,0,0,0,0,0
Matteo Darmian,39,33,0,0,1,1
Josh Dasilva,42,36,3,1,1,0
David Datro Fofana,6,2,4,0,0,0
Juan David Cabal,8,7,0,0,0,0
Jonathan David,116,84,6,13,11,2
Alphonso Davies,88,76,9,1,1,1
Ben Davies,37,33,0,3,0,0
Tom Davies,6,5,0,1,0,0
Paweł Dawidowicz,16,13,0,1,0,1
Craig Dawson,12,10,0,1,1,0
Craig Dawson,6,6,0,0,0,0
Kevin De Bruyne,176,120,8,7,5,3
Charles De Ketelaere,47,39,4,0,2,0
Manuel De Luca,1,0,0,0,1,0
Tommaso De Nipoti,0,0,0,0,0,0
Rodrigo De Paul,88,77,1,0,3,0
Mattia De Sciglio,15,14,0,0,1,0
Lorenzo De Silvestri,11,11,0,0,0,0
Thibault De Smet,29,25,0,0,0,1
Koni De Winter,5,5,0,0,0,0
Grégoire Defrel,16,14,0,1,1,0
Duccio Degl'Innocenti,0,0,0,0,0,0
Brecht Dejaegere,48,40,4,2,2,0
Romain Del Castillo,68,40,3,3,2,2
Alberto Del Moral,0,0,0,0,0,0
Thomas Delaine,23,19,2,0,0,2
Thomas Delaney,4,3,0,0,1,0
Thomas Delaney,3,2,0,0,1,0
Sacha Delaye,2,0,0,1,0,0
Fran Delgado,0,0,0,0,0,0
Andy Delort,21,19,0,2,0,0
Andy Delort,12,10,0,1,1,0
Karamoko Dembele,8,5,0,0,1,0
Moussa Dembélé,14,12,1,0,0,1
Ousmane Dembélé,86,52,15,3,3,0
Siriki Dembélé,5,5,0,0,0,0
Siriki Dembélé,21,13,8,0,0,0
Merih Demiral,4,4,0,0,0,0
Kerem Demirbay,51,25,2,2,1,0
Ermedin Demirović,57,43,4,5,3,2
Diego Demme,3,3,0,0,0,0
Sepp van den Berg,3,2,0,0,0,0
Branco van den Boomen,154,85,0,9,3,0
Leander Dendoncker,8,6,0,1,0,1
Leander Dendoncker,4,3,0,0,0,1
Emmanuel Dennis,25,14,2,2,6,0
Fabio Depaoli,43,27,1,0,5,1
Fabio Depaoli,6,5,0,0,1,0
Kastriot Dermaku,0,0,0,0,0,0
Halil Dervişoğlu,1,0,0,1,0,0
Rémy Descamps,0,0,0,0,0,0
Mikkel Desler,49,42,2,3,1,0
Cyriel Dessers,44,28,5,5,3,1
Sergiño Dest,11,8,1,0,0,0
Mattia Destro,11,5,3,1,2,0
Gerard Deulofeu,82,54,6,5,3,0
Kiernan Dewsbury-Hall,78,61,8,2,5,2
Samuel Di Carmine,0,0,0,0,0,0
Federico Di Francesco,49,29,5,2,6,2
Michele Di Gregorio,3,3,0,0,0,0
Giovanni Di Lorenzo,111,93,1,6,3,3
Ángel Di María,83,45,6,6,1,1
Boulaye Dia,64,53,3,5,3,0
Moussa Diaby,110,74,14,14,3,0
Mouctar Diakhaby,15,13,0,2,0,0
Mamadou Diakhon,0,0,0,0,0,0
Bafodé Diakité,36,28,1,3,1,1
Ibrahim Diakité,0,0,0,0,0,0
Abdou Diallo,5,5,0,0,0,0
Baila Diallo,2,2,0,0,0,0
Habib Diallo,63,39,7,10,7,0
Ibrahima Diallo,10,8,1,0,0,1
Ismael Diallo,17,11,0,1,1,0
Habib Diarra,59,42,7,4,6,0
Mamady Diarra,1,0,0,1,0,0
Moussa Diarra,16,15,0,0,1,0
Stéphane Diarra,35,20,5,2,5,1
Youba Diarra,3,3,0,0,0,0
Rúben Dias,15,11,0,3,0,0
Krépin Diatta,68,44,8,7,5,3
Mory Diaw,7,6,0,0,0,0
Brahim Díaz,96,69,12,6,7,1
Luis Díaz,41,29,7,3,2,0
Justin Diehl,0,0,0,0,0,0
Bamba Dieng,6,2,0,0,3,1
Bamba Dieng,12,8,0,3,0,1
Eric Dier,29,24,0,4,0,0
Florian Dietz,6,3,1,1,0,0
Lucas Digne,29,24,0,0,1,0
Federico Dimarco,103,64,1,5,3,1
Stole Dimitrievski,4,2,0,0,0,0
Junior Dina Ebimbe,17,12,1,3,0,0
Tristan Dingomé,8,6,1,0,0,0
Eren Dinkçi,8,5,2,1,0,0
Sinaly Diomande,13,9,1,1,0,1
Lois Diony,11,7,2,1,1,0
Edan Diop,7,7,0,0,0,0
Issa Diop,9,9,0,0,0,0
Sofiane Diop,57,37,5,3,2,2
Sofiane Diop,7,4,1,0,0,0
Yehvann Diouf,4,2,0,0,0,0
Axel Disasi,26,22,0,2,0,1
Tiago Djaló,10,8,0,1,1,0
Djené,31,23,2,1,3,0
Moussa Djenepo,17,12,2,1,2,0
Koffi Djidji,18,16,0,0,0,2
Alexander Djiku,24,22,0,1,0,0
Berat Djimsiti,10,8,0,1,1,0
Moussa Djitte,2,2,0,0,0,0
Ouparine Djoco,0,0,0,0,0,0
Marko Dmitrović,4,2,0,0,0,0
Alan Do Marcolino,0,0,0,0,0,0
Ben Doak,0,0,0,0,0,0
Ritsu Doan,72,45,10,5,9,2
Dodô,65,58,1,2,1,1
Danilho Doekhi,21,19,0,0,2,0
Matt Doherty,18,13,2,2,1,0
Matt Doherty,0,0,0,0,0,0
Josh Doig,35,23,3,1,2,0
Jeremy Doku,81,52,22,2,3,1
Kasper Dolberg,1,0,0,0,1,0
Kasper Dolberg,8,6,0,0,1,1
Carlos Dominguez,0,0,0,0,0,0
Nicolás Domínguez,71,61,3,1,3,1
John Donald,6,6,0,0,0,0
Giulio Donati,4,2,0,0,1,0
Kyliane Dong,5,2,0,1,1,0
Jordan Dongmo,0,0,0,0,0,0
Gianluigi Donnarumma,1,1,0,0,0,0
Niklas Dorsch,8,6,0,0,2,0
Jodel Dossou,5,4,0,1,0,0
Lohann Doucet,6,6,0,0,0,0
Abdoulaye Doucouré,45,38,3,2,0,2
Cheick Doucouré,61,48,2,5,2,4
Siriné Doucouré,12,10,0,1,1,0
Désiré Doué,35,23,3,1,3,2
Guela Doué,0,0,0,0,0,0
Ismaël Doukouré,20,17,1,1,1,0
Kamory Doumbia,41,34,2,2,2,1
Souleyman Doumbia,32,25,3,0,3,1
Flynn Downes,13,8,0,3,2,0
Kami Doyle,0,0,0,0,0,0
Bartłomiej Drągowski,7,6,0,0,0,0
Cody Drameh,1,1,0,0,0,0
Dion Drena Beljo,25,20,0,3,1,1
Dominick Drexler,46,34,2,1,2,1
Domingos Duarte,15,13,0,2,0,0
Martin Dúbravka,0,0,0,0,0,0
Marvin Ducksch,109,67,5,4,3,0
Ondrej Duda,20,13,1,2,2,1
Ondrej Duda,22,17,2,0,1,0
Shane Duffy,0,0,0,0,0,0
Rémy Dugimont,5,4,0,0,1,0
Denzel Dumfries,71,48,1,9,8,1
Alfred Duncan,39,32,1,2,1,1
Lewis Dunk,32,31,0,1,0,0
Maxime Dupé,2,1,0,1,0,0
Jhon Durán,5,3,0,1,0,1
Pablo Durán,0,0,0,0,0,0
Julien Duranville,5,3,2,0,0,0
Hugo Duro,22,17,2,0,3,0
Jean-Kevin Duverne,48,32,5,0,7,0
Paulo Dybala,104,48,4,10,13,0
Edin Džeko,61,47,1,12,1,0
Malcolm Ebiowei,1,1,0,0,0,0
Festy Ebosele,11,8,2,0,0,1
Enzo Ebosse,8,7,0,0,1,0
Tyronne Ebuehi,29,22,0,1,1,0
Ederson,2,2,0,0,0,0
Éderson,55,37,7,7,1,2
Odsonne Édouard,44,32,1,9,2,0
Samuel Edozie,20,13,3,0,4,0
Maximilian Eggestein,50,44,1,1,3,1
Lilian Egloff,10,8,0,1,1,0
Íñigo Eguaras,25,22,0,1,1,1
Kingsley Ehizibue,31,22,0,5,1,1
Kingsley Ehizibue,1,1,0,0,0,0
Julian Eitschberger,0,0,0,0,0,0
Chidera Ejuke,41,28,9,1,2,1
Albin Ekdal,35,26,1,4,2,2
Hugo Ekitike,33,25,3,2,3,0
Emmanuel Ekong,0,0,0,0,0,0
Anthony Elanga,17,13,0,3,1,0
Alberth Elis,12,6,1,1,3,1
Mikael Ellertsson,5,2,1,1,1,0
Harvey Elliott,75,62,5,5,1,1
Elif Elmas,57,41,6,2,2,0
Mohamed Elneny,0,0,0,0,0,0
Aritz Elustondo,9,5,0,2,0,0
Nico Elvedi,17,17,0,0,0,0
Rodrigo Ely,21,14,1,5,0,0
Mohamed Elyounoussi,41,34,1,2,3,1
Adri Embarba,62,29,7,2,4,1
Adri Embarba,2,0,2,0,0,0
Breel Embolo,63,42,6,8,6,1
Emerson,36,32,0,1,2,1
Youssef En-Nesyri,32,21,2,6,2,0
Julio Enciso,45,28,9,6,2,0
Wataru Endo,84,67,3,4,7,3
Arne Engels,47,22,1,2,4,1
Christian Eriksen,71,50,1,3,0,0
Martin Erlic,10,8,0,1,0,1
Tjark Ernst,0,0,0,0,0,0
Gonzalo Escalante,10,8,0,1,1,0
Gonzalo Escalante,25,22,2,1,0,0
Sergio Escudero,35,20,0,6,2,0
Alfonso Espino,70,59,1,0,2,2
Bernardo Espinosa,9,6,0,3,0,0
Salvatore Esposito,28,13,0,1,3,0
Maxime Estève,7,5,0,1,0,0
Pervis Estupiñán,87,78,3,0,2,0
Jonny Evans,4,4,0,0,0,0
Edu Expósito,45,30,4,3,2,1
Eberechi Eze,118,69,11,4,11,2
Kimberly Ezekwem,0,0,0,0,0,0
Nicolás Ezequiel Fernández,21,18,0,1,0,0
Abdessamad Ezzalzouli,58,27,18,4,3,1
Łukasz Fabiański,2,0,0,0,0,0
Fabinho,55,49,0,1,2,3
Fábio,10,10,0,0,0,0
Noah Fadiga,15,8,3,0,3,1
Wout Faes,22,16,1,3,0,2
Wout Faes,3,3,0,0,0,0
Nicolò Fagioli,39,25,1,4,5,0
Ralf Fährmann,4,1,0,0,0,0
Romain Faivre,45,27,10,3,4,0
Romain Faivre,13,10,0,0,0,0
Radamel Falcao,10,7,1,1,1,0
Wladimiro Falcone,6,4,0,0,0,0
Fali,11,9,0,0,1,0
Fallou Fall,0,0,0,0,0,0
Mamadou Fall,0,0,0,0,0,0
Davide Faraoni,28,18,4,4,0,0
Ansu Fati,50,35,8,5,0,1
Khalil Fayad,19,15,1,1,0,0
Cheikh Faye,0,0,0,0,0,0
Federico Fazio,12,7,0,4,0,0
Jacopo Fazzini,24,16,2,1,2,0
Zouhair Feddal,4,3,0,0,0,1
Nabil Fekir,56,31,4,2,9,0
Felipe,15,10,0,4,1,0
Felipe,1,1,0,0,0,0
Luiz Felipe,7,6,0,1,0,0
João Félix,31,13,6,4,6,0
João Félix,29,22,3,3,0,1
Ohis Felix Uduokhai,13,12,0,1,0,0
Kiko Femenía,24,23,0,0,1,0
Evan Ferguson,22,15,1,6,0,0
Lewis Ferguson,62,45,1,8,6,1
Bruno Fernandes,219,164,8,12,9,0
Edimilson Fernandes,36,18,2,2,1,0
Aitor Fernández,4,2,0,0,0,0
Álex Fernández,39,27,1,0,1,0
Álvaro Fernández,1,0,0,0,0,0
Carlos Fernández,16,12,1,1,2,0
Enzo Fernández,59,49,0,2,2,0
Federico Fernández,0,0,0,0,0,0
Joaquín Fernández,14,12,0,1,0,1
Valery Fernández,29,24,1,0,3,0
Fernando,4,1,0,0,0,0
Fernando,20,18,0,0,0,2
Alex Ferrari,4,3,0,1,0,0
Alex Ferrari,6,4,1,0,1,0
Salvador Ferrer,2,0,0,0,0,0
Jordan Ferri,71,65,2,1,2,0
Fidel,66,46,4,1,4,0
Karol Fila,3,2,0,0,0,0
Vincenzo Fiorillo,0,0,0,0,0,0
Roberto Firmino,46,36,4,6,0,0
Junior Firpo,21,15,0,0,3,1
Kilian Fischer,7,5,1,0,1,0
Mark Flekken,10,6,0,0,0,0
Florian Flick,7,6,0,1,0,0
Alexis Flips,95,69,1,7,1,4
Alessandro Florenzi,9,4,0,1,1,0
Phil Foden,99,76,6,5,3,0
Seko Fofana,94,78,7,2,5,2
Wesley Fofana,2,1,0,0,0,1
Wesley Fofana,13,13,0,0,0,0
Yahia Fofana,2,2,0,0,0,0
Youssouf Fofana,78,68,6,0,2,2
Thomas Foket,39,37,0,0,1,1
José Fonte,16,13,0,2,1,0
Pablo Fornals,57,48,1,3,0,1
Emil Forsberg,39,28,0,4,3,1
Adam Forshaw,16,10,0,0,0,0
Fraser Forster,0,0,0,0,0,0
Philipp Förster,44,25,1,1,2,0
Steven Fortes,0,0,0,0,0,0
Timothy Fosu-Mensah,5,5,0,0,0,0
Dimitri Foulquier,29,25,0,2,0,1
Juan Foyth,29,28,0,0,0,0
Raphael Framberger,1,1,0,0,0,0
Tyrese Francois,0,0,0,0,0,0
Bartol Franjić,3,2,1,0,0,0
Przemysław Frankowski,123,69,3,3,2,2
Ryan Fraser,8,6,0,1,0,0
Davide Frattesi,79,60,7,5,5,2
Oscar Fraulo,0,0,0,0,0,0
Fred,59,49,1,4,3,2
Ryan Fredericks,5,4,1,0,0,0
Iván Fresneda,39,33,0,0,1,1
Remo Freuler,29,27,0,1,0,0
Michael Frey,15,13,0,2,0,0
Marco Friedl,24,20,1,0,0,0
Marvin Friedrich,10,9,0,0,0,0
Jeremie Frimpong,103,65,20,6,10,0
Chris Führich,79,52,7,6,3,0
Angelo Fulgini,45,23,2,2,1,0
Angelo Fulgini,18,17,0,0,1,0
Niclas Füllkrug,74,54,3,8,9,0
Matteo Gabbia,4,4,0,0,0,0
Manolo Gabbiadini,62,39,3,8,9,2
Gianluca Gaetano,5,4,0,1,0,0
Roberto Gagliardini,19,17,0,1,1,0
Adolfo Gaich,19,14,2,0,2,1
Cody Gakpo,49,37,3,4,3,2
Javi Galán,93,70,4,1,2,2
Iñigo Ruiz de Galarreta,46,33,1,0,3,0
Pablo Galdames Millán,16,10,0,0,0,0
Conor Gallagher,47,34,4,2,2,1
Antonino Gallo,64,50,3,1,1,0
Gauthier Gallon,2,1,0,0,0,0
Cristian Gamboa,28,20,1,0,0,1
Kévin Gameiro,58,44,1,9,4,0
Idrissa Gana Gueye,51,36,1,2,7,5
Ignatius Ganago,29,17,0,5,6,1
Ignatius Ganago,0,0,0,0,0,0
Silvère Ganvoula M'Boussy,11,9,1,1,0,0
Aleix García,125,69,3,3,0,3
Álvaro García,95,70,6,6,7,4
Borja García,17,12,2,1,1,0
Carlos García,0,0,0,0,0,0
Dani García,23,20,0,0,1,2
David García,19,19,0,0,0,0
Eric García,10,10,0,0,0,0
Fran Garcia,71,55,3,1,2,4
Joan García,0,0,0,0,0,0
Raúl García,33,18,2,10,1,2
Rubén García,54,29,1,2,2,0
Unai García,6,5,0,0,0,1
Alejandro Garnacho,22,17,3,1,1,0
James Garner,19,13,1,1,1,0
Felix Garreta,0,0,0,0,0,0
Aleix Garrido,0,0,0,0,0,0
Sékou Gassama,1,1,0,0,0,0
Johan Gastien,69,44,0,2,1,1
Federico Gatti,19,17,0,1,1,0
Gavi,72,59,3,4,3,3
Paulo Gazzaniga,2,1,0,0,0,0
David de Gea,5,3,0,0,0,0
Dario Gebuhr,0,0,0,0,0,0
Dennis Geiger,57,38,2,1,0,2
Joe Gelhardt,4,4,0,0,0,0
Valentin Gendrey,49,37,1,0,4,2
Denis Genreau,18,15,0,1,0,2
Yannick Gerhardt,45,36,0,3,5,1
Valère Germain,14,11,0,2,1,0
Gerson,12,9,1,0,2,0
Ismaël Gharbi,2,0,1,0,1,0
Paolo Ghiglione,19,16,0,0,0,0
Saman Ghoddos,4,1,0,1,0,0
Faouzi Ghoulam,17,6,0,0,1,0
Morgan Gibbs-White,4,2,1,0,0,0
Morgan Gibbs-White,119,72,9,6,2,3
Niko Gießelmann,47,22,2,2,2,0
Samuel Gigot,19,15,0,4,0,0
Rafał Gikiewicz,7,3,0,0,0,0
Bryan Gil,5,4,1,0,0,0
Bryan Gil,25,20,1,1,2,1
David Gil,0,0,0,0,0,0
Óscar Gil,33,25,2,2,3,0
Mario Gila,0,0,0,0,0,0
Billy Gilmour,14,12,0,0,1,1
Álvaro Giménez,0,0,0,0,0,0
Gvidas Gineitis,3,3,0,0,0,0
Matthias Ginter,32,27,0,4,1,0
Andrei Girotto,32,27,0,3,0,1
Olivier Giroud,50,39,0,8,3,0
Serge Gnabry,88,59,10,10,3,3
Degnand Gnonto,50,30,4,4,8,1
Ben Godfrey,4,4,0,0,0,0
Pierluigi Gollini,0,0,0,0,0,0
Pierluigi Gollini,0,0,0,0,0,0
Aleksandr Golovin,121,79,8,3,5,2
André Gomes,40,36,1,2,0,0
Angel Gomes,89,62,7,2,8,1
João Gomes,14,9,1,2,2,0
Toti Gomes,9,9,0,0,0,0
Dani Gómez,0,0,0,0,0,0
Joe Gomez,18,15,0,1,0,1
Maxi Gómez,2,2,0,0,0,0
Moi Gómez,94,67,1,4,1,0
Papu Gómez,46,38,1,2,2,1
Sergi Gómez,11,9,0,2,0,0
Sergio Gómez,7,6,0,0,0,0
Antonio Gomis,0,0,0,0,0,0
Maxime Gonalons,21,20,1,0,0,0
Diego González,0,0,0,0,0,0
Édgar González,7,6,0,1,0,0
Giovanni González,12,10,0,1,0,0
Joan Gonzàlez,40,31,1,3,4,1
Nicolás González,62,40,4,6,11,1
Nicolás González,33,25,3,2,2,0
Oumar Gonzalez,4,4,0,0,0,0
Roberto González,5,2,0,0,0,0
Jacek Góralski,3,2,0,0,1,0
Anthony Gordon,16,10,1,1,2,1
Anthony Gordon,23,13,1,6,1,2
Leon Goretzka,49,36,1,10,1,1
Andoni Gorosabel,30,22,0,0,1,1
Robin Gosens,41,35,2,2,1,0
Mario Götze,101,79,2,5,1,1
Amine Gouiri,7,4,0,1,1,0
Amine Gouiri,93,72,9,9,2,1
Jeffrey Gouweleeuw,35,24,3,4,0,1
Jonathan Gradit,49,40,1,0,4,3
José Gragera,2,1,0,1,0,0
Alberto Grassi,13,11,0,1,1,0
Ryan Gravenberch,25,22,0,3,0,0
Andrew Gravillon,0,0,0,0,0,0
Andrew Gravillon,9,5,0,2,0,0
Demarai Gray,94,41,4,11,10,3
Adrian Grbić,0,0,0,0,0,0
Ivo Grbić,1,1,0,0,0,0
Jack Grealish,104,71,6,6,13,1
Sam Greenwood,24,5,0,1,0,0
Michael Gregoritsch,67,49,2,10,5,0
Dominik Greif,1,1,0,0,0,0
Leo Greiml,3,3,0,0,0,0
Clément Grenier,18,11,1,0,0,0
Antoine Griezmann,162,111,10,7,8,3
Vincenzo Grifo,131,83,3,8,1,3
Lennart Grill,1,1,0,0,0,0
Christian Groß,23,20,1,1,0,1
Pascal Groß,138,90,1,5,1,1
Brajan Gruda,1,1,0,0,0,0
Ilia Gruev,24,19,0,0,1,0
Carlos Gruezo,12,12,0,0,0,0
Vicente Guaita,1,1,0,0,0,0
Andrés Guardado,32,26,0,2,1,0
Sergi Guardiola,8,6,0,0,1,1
Sergi Guardiola,31,21,2,5,2,1
Nemanja Gudelj,30,25,0,3,1,0
Gabriel Gudmundsson,22,16,3,1,2,0
Gonçalo Guedes,27,15,1,2,5,1
Axel Gueguin,0,0,0,0,0,0
Marc Guéhi,29,23,0,3,1,1
Mattéo Guendouzi,67,55,4,2,2,3
Javier Guerra,18,12,4,1,0,1
Raphaël Guerreiro,111,83,4,5,1,1
Axel Guessand,0,0,0,0,0,0
Evann Guessand,28,16,6,3,3,0
Ander Guevara,7,7,0,0,0,0
Pape Gueye,31,22,4,1,3,1
Pape Gueye,10,10,0,0,0,0
Josuha Guilavogui,16,13,0,0,2,1
Frederic Guilbert,32,23,0,0,3,2
Bruno Guimarães,110,92,3,1,11,2
Serhou Guirassy,2,2,0,0,0,0
Serhou Guirassy,47,28,3,8,8,0
Rafik Guitane,0,0,0,0,0,0
Péter Gulácsi,1,1,0,0,0,0
Manuel Gulde,6,4,0,0,0,2
Gerard Gumbau,121,56,2,5,1,0
Robert Gumny,31,19,0,3,3,3
İlkay Gündoğan,90,71,2,4,4,2
Christian Günter,101,61,4,3,1,0
Koray Günter,13,10,0,2,0,0
Koray Günter,3,3,0,0,0,0
Gorka Guruzeta,39,29,1,6,3,0
Malo Gusto,50,42,4,0,2,0
Raúl Guti,16,13,1,2,0,0
Miguel Gutiérrez,55,40,5,2,3,0
Joško Gvardiol,29,27,1,1,0,0
Darko Gyabi,0,0,0,0,0,0
Emmanuel Gyasi,53,44,2,2,3,2
Norbert Gyömbér,11,8,0,1,0,1
Christian Gytkjær,9,7,0,2,0,0
Erling Haaland,72,48,5,10,8,1
Nicolas Haas,19,17,1,0,0,0
Janik Haberer,60,47,1,7,4,1
Alexander Hack,11,11,0,0,0,0
Munir El Haddadi,49,21,5,4,8,0
Jaouen Hadjam,23,19,3,0,0,0
Dennis Hadzikadunic,3,3,0,0,0,0
André Hahn,3,3,0,0,0,0
Amadou Haidara,36,29,1,3,2,1
Massadio Haïdara,18,15,1,0,1,1
Achraf Hakimi,75,64,4,2,2,2
Lewis Hall,25,13,2,2,2,0
Sébastien Haller,40,22,4,10,4,0
Marcel Halstenberg,37,25,1,2,1,1
Mathis Hamdi,0,0,0,0,0,0
Ben Hamed Touré,1,1,0,0,0,0
Romain Hamouma,35,20,2,3,4,0
Saïd Hamulic,1,1,0,0,0,0
Andreas Hanche-Olsen,8,6,0,1,0,1
Samir Handanović,6,5,0,0,0,0
Genki Haraguchi,22,19,0,0,2,1
Genki Haraguchi,21,17,1,1,2,0
Amine Harit,30,23,3,0,1,0
Luke Harris,0,0,0,0,0,0
Jack Harrison,114,68,7,5,5,2
Abdou Harroui,15,15,0,0,0,0
Makoto Hasebe,6,6,0,0,0,0
Haissem Hassan,1,1,0,0,0,0
Hans Hateboer,22,19,1,1,0,0
Kai Havertz,63,54,1,5,1,0
Eden Hazard,16,12,0,1,2,0
Thorgan Hazard,23,16,0,3,0,0
Rhys Healey,2,2,0,0,0,0
Jan Paul van Hecke,2,2,0,0,0,0
Jonas Hector,74,49,5,1,4,3
Hwang Hee-chan,30,25,2,1,2,0
Gauthier Hein,63,43,4,1,1,1
Dominique Heintz,8,7,0,0,0,1
Dean Henderson,3,3,0,0,0,0
Jordan Henderson,72,65,0,3,1,2
Liam Henderson,33,30,0,1,0,1
Jack Hendry,4,4,0,0,0,0
Wayne Hennessey,0,0,0,0,0,0
Benjamin Henrichs,55,41,3,6,4,0
Henrique,3,2,0,0,1,0
Luiz Henrique,47,28,10,5,2,2
Matheus Henrique,62,53,1,2,2,2
Rico Henry,51,43,1,2,2,2
Thomas Henry,22,16,1,3,1,0
Christophe Hérelle,6,4,0,1,0,0
Mario Hermoso,33,27,0,4,1,1
Javi Hernández,24,20,1,3,0,0
Aridane Hernández,12,10,0,1,0,0
Lucas Hernández,4,4,0,0,0,0
Luis Hernández,36,20,0,2,0,1
Mario Hernández,2,2,0,0,0,0
Theo Hernández,87,51,3,7,8,1
Jorge Herrando,0,0,0,0,0,0
Ander Herrera,23,20,0,1,1,1
Sergio Herrera,7,7,0,0,0,0
Yangel Herrera,21,17,0,1,1,2
Patrick Herrmann,6,4,0,1,0,0
Son Heung-min,122,74,7,10,4,0
Aaron Hickey,20,14,1,2,2,0
Isak Hien,18,15,0,0,0,2
Omar El Hilali,2,2,0,0,0,0
Piero Hincapié,21,17,1,1,1,1
Jack Hinshelwood,0,0,0,0,0,0
Morten Hjulmand,60,53,0,1,3,0
Adam Hložek,39,30,1,4,1,0
Joseph Hodge,2,2,0,0,0,0
Nicolas Höfler,40,31,0,3,2,2
Jonas Hofmann,163,83,2,7,6,1
Philipp Hofmann,59,46,2,3,7,1
Rob Holding,6,4,1,1,0,0
Lucas Höler,41,27,2,6,6,0
Mason Holgate,11,8,0,1,0,0
Emil Holm,36,24,2,2,3,0
Noah Holm,7,4,0,0,1,2
Gerrit Holtmann,22,16,2,3,1,0
Martin Hongla,11,9,1,1,0,0
Martin Hongla,11,9,0,0,0,0
Franck Honorat,132,80,5,7,3,0
Jannes Horn,0,0,0,0,0,0
Cédric Hountondji,13,12,0,1,0,0
Ilyes Housni,0,0,0,0,0,0
Lukáš Hrádecký,1,0,0,0,0,0
Petko Hristov,3,1,0,1,1,0
Ajdin Hrustic,7,6,0,0,0,0
Timo Hübers,13,13,0,0,0,0
Callum Hudson-Odoi,26,19,1,2,0,0
Will Hughes,17,12,0,2,1,0
Mats Hummels,41,35,0,4,0,1
Adrien Hunou,48,36,1,3,7,0
Denis Huseinbasic,15,8,2,1,3,0
Omari Hutchinson,2,2,0,0,0,0
Elseid Hysaj,38,34,2,0,2,0
Pierre Højbjerg,97,89,2,2,1,3
Rasmus Højlund,56,37,7,6,6,0
Iago,40,27,4,0,1,0
Pablo Ibáñez,19,14,1,1,0,2
Roger Ibanez,27,15,0,7,3,1
Arijon Ibrahimović,1,1,0,0,0,0
Zlatan Ibrahimović,3,2,0,1,0,0
Mounaim El Idrissy,42,24,0,1,15,1
Antonio Iervolino,2,2,0,0,0,0
Iglesias,40,30,1,1,2,0
Borja Iglesias,40,29,1,5,4,0
Igor,19,16,2,0,0,1
Kelechi Iheanacho,45,33,4,5,2,0
Jonathan Ikone,67,50,11,3,3,0
Ivan Ilić,28,14,2,0,0,0
Ivan Ilić,35,28,0,0,1,1
Rareş Ilie,6,3,0,1,0,2
Samuel Iling-Junior,14,11,1,0,1,1
Emirhan İlkhan,5,5,0,0,0,0
Emirhan İlkhan,3,2,0,0,0,0
Asier Illarramendi,27,22,0,0,1,1
Ciro Immobile,72,48,7,12,5,0
Danny Ings,12,11,1,0,0,0
Danny Ings,16,12,2,2,0,0
Marcus Ingvartsen,21,14,3,2,2,0
Bonke Innocent,17,14,0,2,0,1
Alexander Isak,49,29,5,11,3,1
Alexander Isak,2,2,0,0,0,0
Isco,32,22,2,0,2,1
Ismaily,42,38,0,2,1,1
Ardian Ismajli,11,9,0,1,0,1
Ko Itakura,18,13,1,3,1,0
Hiroki Ito,49,32,0,1,0,1
Junya Ito,141,97,15,4,5,1
Diego Iturralde,0,0,0,0,0,0
Andreas Ivan,1,1,0,0,0,0
Mihailo Ivanović,0,0,0,0,0,0
Daniel Iversen,1,1,0,0,0,0
Alex Iwobi,120,91,8,7,3,2
Armando Izzo,26,22,0,1,1,2
Nicolas Jackson,47,31,8,5,2,0
Lee Jae-sung,58,47,2,6,2,1
Paul Jaeckel,11,8,0,0,0,0
Mato Jajalo,3,3,0,0,0,0
Kristijan Jakić,18,15,0,0,0,1
Ismail Jakobs,30,24,1,3,0,0
Marin Jakoliš,2,2,0,0,0,0
Daniel James,4,3,0,0,1,0
Daniel James,11,10,0,0,1,0
Reece James,47,36,3,2,1,0
Vitaly Janelt,47,39,2,3,0,2
Saidy Janko,5,4,0,0,0,1
Pontus Jansson,2,1,0,1,0,0
Tony Jantschke,0,0,0,0,0,0
Adnan Januzaj,0,0,0,0,0,0
Léo Jardim,0,0,0,0,0,0
Luis Javier Suárez,37,18,7,5,5,1
Luis Javier Suárez,7,5,1,1,0,0
Dany Jean,1,1,0,0,0,0
Julian Jeanvier,9,6,1,0,1,0
Jeffinho,19,12,3,0,4,0
Fredrik Jensen,20,17,0,0,0,0
Mathias Jensen,103,48,1,3,3,1
Moritz Jenz,12,8,0,0,0,2
Jesé,7,5,0,1,1,0
Gabriel Jesus,83,43,12,11,13,3
Juan Jesus,13,10,0,2,0,1
Raúl Jiménez,18,12,1,3,2,0
Joaquín,29,23,1,1,1,0
Joelinton,80,54,9,8,7,1
Þórir Jóhann Helgason,7,3,0,0,1,0
Ben Johnson,8,7,1,0,0,0
Brennan Johnson,55,36,6,7,5,1
Sam Johnstone,0,0,0,0,0,0
Paul Joly,18,14,2,1,1,0
Curtis Jones,38,31,4,1,1,1
Frenkie de Jong,110,94,6,2,1,2
Joan Jordán,30,23,0,0,2,2
